,Title,Tokens
8457,3485	HIV prevalence among women sex workers falls,"['prevalence', 'women', 'sex', 'workers', 'falls']"
8458,3486	HIV prevalence among women sex workers falls,"['prevalence', 'women', 'sex', 'workers', 'falls']"
8459,3487	In memory of HIV-AIDS victims,"['memory', 'victims']"
8460,3488	Ebola virus causes outbreak of infectious dance tune in west Africa,"['ebola', 'virus', 'outbreak', 'infectious', 'dance', 'tune', 'west', 'africa']"
8461,3489	Avoiding doctor-centric health solutions,"['avoiding', 'doctor', 'centric', 'health', 'solutions']"
8462,3490	Long delay in committal impedes swift delivery of justice,"['long', 'delay', 'committal', 'impedes', 'swift', 'delivery', 'justice']"
8463,3491	‘Ensure HIV test for all pregnant women’,"['ensure', 'test', 'pregnant', 'women']"
8464,3492	Dialysis centre opened at Tahirpur,"['dialysis', 'centre', 'opened', 'tahirpur']"
8465,3493	Should Air France stop ferrying lab monkeys?,"['air', 'france', 'ferrying', 'lab', 'monkeys']"
8466,3494	Medical officer accused of ‘humiliating’ patients,"['medical', 'officer', 'accused', 'humiliating', 'patients']"
8467,3495	Delay in committal impedes swift delivery of justice,"['delay', 'committal', 'impedes', 'swift', 'delivery', 'justice']"
8468,3498	moreh,['moreh']
8469,3499	‘Robotic pharmacy is in-thing’,"['robotic', 'pharmacy', 'thing']"
8470,3500	Monsoon showers diseases on rag pickers,"['monsoon', 'showers', 'diseases', 'rag', 'pickers']"
8471,3501	Uttar Pradesh,"['uttar', 'pradesh']"
8472,3502	Perambalur now under health helpline,"['perambalur', 'health', 'helpline']"
8473,3503	From Dublin to Vijayawada with a mission,"['dublin', 'vijayawada', 'mission']"
8474,3504	Ireland students conduct classes for students in city,"['ireland', 'students', 'conduct', 'classes', 'students', 'city']"
8475,3505	Wall posters deface painted walls,"['wall', 'posters', 'deface', 'painted', 'walls']"
8476,3506	Nurses get laptops to maintain health charts of pregnant women now,"['nurses', 'laptops', 'maintain', 'health', 'charts', 'pregnant', 'women']"
8477,3507	03HIV-positive-+04cb_hivchild.eps.j.jpg,"['positive', 'cbhivchild', 'eps', 'jpg']"
8478,3509	Sharp fall in AIDS deaths: UN,"['sharp', 'fall', 'deaths']"
8479,3511	QUESTION CORNER,"['question', 'corner']"
8480,3512	Nurses get laptops to maintain health charts of pregnant women now,"['nurses', 'laptops', 'maintain', 'health', 'charts', 'pregnant', 'women']"
8481,3513	Monsoon showers diseases on rag pickers,"['monsoon', 'showers', 'diseases', 'rag', 'pickers']"
8482,3514	Free ART treatment at RIMS Imphal,"['free', 'art', 'treatment', 'rims', 'imphal']"
8483,3515	Quality health care with public funds,"['quality', 'health', 'care', 'public', 'funds']"
8484,3516	Quality health care with public funds,"['quality', 'health', 'care', 'public', 'funds']"
8485,3517	The cinema of invisible people,"['cinema', 'invisible', 'people']"
8486,3518	The cinema of invisible people,"['cinema', 'invisible', 'people']"
8487,3519	Patients to be screened for extensively drug-resistant TB at CMCH from July 1,"['patients', 'screened', 'extensively', 'drug', 'resistant', 'tb', 'cmch', 'july']"
8488,3520	World Blood Donor Day observed,"['blood', 'donor', 'day', 'observed']"
8489,3522	22VZ_MICHAEL_JACKSON_DANCE,['vzmichaeljacksondance']
8490,3524	21vzniv01_micha+22VZ_MICHAEL_JACKSO.jpg,"['vznivmicha', 'vzmichaeljackso', 'jpg']"
8491,3526	Vaccination holds the key to tackling Hepatitis-B infection,"['vaccination', 'holds', 'key', 'tackling', 'hepatitis', 'infection']"
8492,3527	KSHRC member visits social welfare hostels,"['kshrc', 'member', 'visits', 'social', 'welfare', 'hostels']"
8493,3528	26THPRE_AMITABH_BACHCHAN_AT_IFFI,['thpreamitabhbachchanatiffi']
8494,3529	Amitabh Bachchan invited to IFFI 2014,"['amitabh', 'bachchan', 'invited', 'iffi']"
8495,3530	Activists: WHO advisory on MSM needs rethink,"['activists', 'advisory', 'msm', 'rethink']"
8496,3531	engagements,['engagements']
8497,3532	Big jump in HIV cases in Manipur,"['big', 'jump', 'cases', 'manipur']"
8498,3533	“New WHO norms on HIV services not well thought-out”,"['norms', 'services', 'well', 'thought']"
8499,3535	Way to find hidden HIV-infected cells revealed,"['find', 'hidden', 'infected', 'cells', 'revealed']"
8500,3536	“New WHO norms on HIV services not well thought-out”,"['norms', 'services', 'well', 'thought']"
8501,3537	India scores by battling HIV/AIDS but falls short fighting TB and malaria,"['india', 'scores', 'battling', 'falls', 'short', 'fighting', 'tb', 'malaria']"
8502,3538	Cancer drug brings out HIV virus hidden in immune cells,"['cancer', 'drug', 'brings', 'virus', 'hidden', 'immune', 'cells']"
8503,3539	Big drive planned against hepatitis B,"['big', 'drive', 'planned', 'hepatitis']"
8504,3540	Monterey Bay gets its antibiotics,"['monterey', 'bay', 'antibiotics']"
8505,3541	Qwikipedia,['qwikipedia']
8506,3542	Irrational prejudice,"['irrational', 'prejudice']"
8507,3543	Irrational prejudice,"['irrational', 'prejudice']"
8508,3544	Cancer drug activates hidden HIV virus,"['cancer', 'drug', 'activates', 'hidden', 'virus']"
8509,3545	Disturbing,['disturbing']
8510,3546	MH 17 crash,"['mh', 'crash']"
8511,3547	Big drive planned against hepatitis B,"['big', 'drive', 'planned', 'hepatitis']"
8512,3548	05Bg_HIV.eps,"['bghiv', 'eps']"
8513,3550	05Bg_HIV_BW.eps,"['bghivbw', 'eps']"
8514,3551	HIV patients hit by acute drug shortage,"['patients', 'hit', 'acute', 'drug', 'shortage']"
8515,3552	Dermatologists told not to ignore treatment,"['dermatologists', 'told', 'ignore', 'treatment']"
8516,3553	Sensitising sports training coaches to HIV,"['sensitising', 'sports', 'training', 'coaches']"
8517,3554	Ending AIDS by 2030,[]
8518,3555	Joep brought HIV cure to poor,"['joep', 'brought', 'cure', 'poor']"
8519,3556	Glossary,['glossary']
8520,3557	Dial 104 helpline for counselling on health,"['dial', 'helpline', 'counselling', 'health']"
8521,3558	24th_aids-copy_+24THTRAINING.jpg.jpg,"['thaids', 'copy', 'thtraining', 'jpg', 'jpg']"
8522,3559	Dial 104 helpline for counselling on health in Tiruchi,"['dial', 'helpline', 'counselling', 'health', 'tiruchi']"
8523,3560	24THTRAINING,['thtraining']
8524,3561	Sensitising sports training coaches to HIV in Puducherry,"['sensitising', 'sports', 'training', 'coaches', 'puducherry']"
8525,3562	Joep brought HIV cure to poor,"['joep', 'brought', 'cure', 'poor']"
8526,3563	630 fishermen found to be HIV-TB infected,"['fishermen', 'tb', 'infected']"
8527,3564	Learning from Latur experience on HIV-positive children,"['learning', 'latur', 'experience', 'positive', 'children']"
8528,3565	Trust launches campaign for ‘virus-free India’,"['trust', 'launches', 'campaign', 'virus', 'free', 'india']"
8529,3566	Hepatitis camp tomorrow,"['hepatitis', 'camp', 'tomorrow']"
8530,3567	Fight continues for these children with HIV,"['fight', 'continues', 'children']"
8531,3568	Trust launches campaign for ‘virus-free India’,"['trust', 'launches', 'campaign', 'virus', 'free', 'india']"
8532,3569	630 fishermen found to be HIV-TB infected,"['fishermen', 'tb', 'infected']"
8533,3570	Awareness on HIV-AIDS,['awareness']
8534,3571	Events on education in Udupi,"['events', 'education', 'udupi']"
8535,3572	HIV patients affected by acute shortage of drug,"['patients', 'acute', 'shortage', 'drug']"
8536,3573	04bg_bgyas_HIV_+05Bg_HIV.eps.jpg.jpg,"['bgbgyashiv', 'bghiv', 'eps', 'jpg', 'jpg']"
8537,3574	hiv,[]
8538,3575	Children show the way,['children']
8539,3576	Go back in time,['time']
8540,3577	Hepatitis screening camp held,"['hepatitis', 'screening', 'camp', 'held']"
8541,3578	Children show the way,['children']
8542,3579	Taking Id to its roots,['roots']
8543,3580	Social stigma hindering promotion of ‘Vishala Palana Yojana’ in Mandya,"['social', 'stigma', 'hindering', 'promotion', 'vishala', 'palana', 'yojana', 'mandya']"
8544,3581	Anti-HIV drug stocks may last only for two days at ART centre,"['anti', 'drug', 'stocks', 'days', 'art', 'centre']"
8545,3582	Painting the Buddha sans brush,"['painting', 'buddha', 'sans', 'brush']"
8546,3583	Natwar Singh’s book,"['natwar', 'singh', 'book']"
8547,3584	Painting the Buddha sans brush,"['painting', 'buddha', 'sans', 'brush']"
8548,3585	Painting the Buddha sans the brush,"['painting', 'buddha', 'sans', 'brush']"
8549,3586	Stronger laws against AIDS discrimination needed,"['stronger', 'laws', 'discrimination', 'needed']"
8550,3587	Anti-Retroviral Therapy successful in 6 districts,"['anti', 'retroviral', 'therapy', 'successful', 'districts']"
8551,3588	Consultation explores grey areas in healthcare,"['consultation', 'explores', 'grey', 'areas', 'healthcare']"
8552,3589	Consultation explores grey areas in healthcare,"['consultation', 'explores', 'grey', 'areas', 'healthcare']"
8553,3590	Ebola screening sought at departure points in African countries,"['ebola', 'screening', 'sought', 'departure', 'points', 'african', 'countries']"
8554,3591	Goa,['goa']
8555,3592	Don’t discriminate against HIV-positive children: NCPCR warns schools,"['don', 'discriminate', 'positive', 'children', 'ncpcr', 'warns', 'schools']"
8556,3593	11th_HIV-affect+11THKUSHAL.jpg.jpg,"['thhiv', 'affect', 'thkushal', 'jpg', 'jpg']"
8557,3594	01_RAKSHA_BANDA+01_RAKSHA_BANDAN_CE.jpg,"['rakshabanda', 'rakshabandance', 'jpg']"
8558,3595	Not a single village unaffected by HIV in Goa,"['single', 'village', 'unaffected', 'goa']"
8559,3596	‘Do not discriminate HIV + students in schools’,"['discriminate', 'students', 'schools']"
8560,3597	All villages in Goa have HIV cases: Minister,"['villages', 'goa', 'cases', 'minister']"
8561,3598	Rare honour for city doctor,"['rare', 'honour', 'city', 'doctor']"
8562,3599	BJP sees hidden agenda in household survey,"['bjp', 'sees', 'hidden', 'agenda', 'household', 'survey']"
8563,3601	Goa CM shares meal with children living with HIV,"['goa', 'cm', 'shares', 'meal', 'children', 'living']"
8564,3602	Malala urges young people to campaign for change,"['malala', 'urges', 'young', 'people', 'campaign', 'change']"
8565,3603	Malala urges young people to campaign for change,"['malala', 'urges', 'young', 'people', 'campaign', 'change']"
8566,3604	Step up AIDS control measures: U.N. official,"['step', 'control', 'measures', 'official']"
8567,3605	Bus fares increased in Odisha,"['bus', 'fares', 'increased', 'odisha']"
8568,3606	‘Terminally ill’ teacher transfer cases to be re-examined,"['terminally', 'ill', 'teacher', 'transfer', 'cases', 'examined']"
8569,3607	Teachers resort to unhealthy practices in Karnataka,"['teachers', 'resort', 'unhealthy', 'practices', 'karnataka']"
8570,3608	Teachers resort to unhealthy practices,"['teachers', 'resort', 'unhealthy', 'practices']"
8571,3609	More teachers to come under scanner,"['teachers', 'scanner']"
8572,3610	‘Terminally ill’ teacher transfer cases to be re-examined,"['terminally', 'ill', 'teacher', 'transfer', 'cases', 'examined']"
8573,3611	Step up AIDS control measures: U.N. official,"['step', 'control', 'measures', 'official']"
8574,3612	Govt. to merge Department of AIDS Control with Health Ministry,"['govt', 'merge', 'department', 'control', 'health', 'ministry']"
8575,3613	Create awareness against HIV/AIDS: VC,"['create', 'awareness', 'vc']"
8576,3614	I-Day gift to HIV positive BSF cop,"['day', 'gift', 'positive', 'bsf', 'cop']"
8577,3615	TIRUCHI TODAY,"['tiruchi', 'today']"
8578,3616	Samaram’s book on HIV/AIDS released,"['samaram', 'book', 'released']"
8579,3617	Create awareness against HIV/AIDS: VC,"['create', 'awareness', 'vc']"
8580,3619	Fishermen demand lifting of ban on sea cucumber,"['fishermen', 'demand', 'lifting', 'ban', 'sea', 'cucumber']"
8581,3620	BJP sees hidden agenda in household survey,"['bjp', 'sees', 'hidden', 'agenda', 'household', 'survey']"
8582,3621	Joint efforts to rehabilitate HIV-infected,"['joint', 'efforts', 'rehabilitate', 'infected']"
8583,3622	Departments to unite to rehabilitate HIV-infected,"['departments', 'unite', 'rehabilitate', 'infected']"
8584,3623	TIRUCHI TODAY,"['tiruchi', 'today']"
8585,3624	Goa CM shares meal with children living with HIV,"['goa', 'cm', 'shares', 'meal', 'children', 'living']"
8586,3626	Children with HIV/AIDS adopted by trust,"['children', 'adopted', 'trust']"
8587,3627	HIV positive BSF constable gets much needed Independence Day gift,"['positive', 'bsf', 'constable', 'needed', 'independence', 'day', 'gift']"
8588,3629	Making a difference: Hope in the Hospital,"['making', 'difference', 'hope', 'hospital']"
8589,3630	Hope in the Hospital,"['hope', 'hospital']"
8590,3631	Theyyam that speaks about AIDS,"['theyyam', 'speaks']"
8591,3632	Transwoman security guard at Dindigul GH sets an example,"['transwoman', 'security', 'guard', 'dindigul', 'gh', 'sets', 'example']"
8592,3633	Move to merge AIDS body with Health Ministry flayed,"['move', 'merge', 'body', 'health', 'ministry', 'flayed']"
8593,3634	Transwoman security guard at Dindigul GH sets an example,"['transwoman', 'security', 'guard', 'dindigul', 'gh', 'sets', 'example']"
8594,3635	Eye donations help 638 in Tirupur,"['eye', 'donations', 'help', 'tirupur']"
8595,3636	IVF specialist inducted as honorary professor of AU,"['ivf', 'specialist', 'inducted', 'honorary', 'professor', 'au']"
8596,3637	02tvmpm-HIV_The+02tvmpm-HIV_Theyyam.jpg,"['tvmpm', 'hivthe', 'tvmpm', 'hivtheyyam', 'jpg']"
8597,3638	02tvmpm-HIV_The+02tvmpm-HIV_Theyyam.jpg,"['tvmpm', 'hivthe', 'tvmpm', 'hivtheyyam', 'jpg']"
8598,3639	Move to merge AIDS body with Health Ministry flayed,"['move', 'merge', 'body', 'health', 'ministry', 'flayed']"
8599,3640	Radiology key to early detection of diseases,"['radiology', 'key', 'early', 'detection', 'diseases']"
8600,3641	‘Step up awareness on ill-effects of indiscriminate use of antibiotics’,"['step', 'awareness', 'ill', 'effects', 'indiscriminate', 'antibiotics']"
8601,3642	Tiruchi Today,"['tiruchi', 'today']"
8602,3643	Health workers seek better deal,"['health', 'workers', 'seek', 'better', 'deal']"
8603,3644	Teacher transfers: three DPI officials suspended,"['teacher', 'transfers', 'three', 'dpi', 'officials', 'suspended']"
8604,3645	Teacher transfers: three DPI officials suspended,"['teacher', 'transfers', 'three', 'dpi', 'officials', 'suspended']"
8605,3646	“Local bodies must play a role in TB eradication”,"['local', 'bodies', 'play', 'role', 'tb', 'eradication']"
8606,3647	You can’t steal this bicycle,"['steal', 'bicycle']"
8607,3648	You can’t steal this bicycle,"['steal', 'bicycle']"
8608,3649	You can’t steal this bicycle,"['steal', 'bicycle']"
8609,3650	Documenting everyday life on the road,"['documenting', 'everyday', 'life', 'road']"
8610,3651	13 clinical labs shut down,"['clinical', 'labs', 'shut']"
8611,3652	Documenting everyday life on the road,"['documenting', 'everyday', 'life', 'road']"
8612,3653	After the awards,['awards']
8613,3654	Media coverage on gender identity issues draws flak,"['media', 'coverage', 'gender', 'identity', 'issues', 'draws', 'flak']"
8614,3655	HRC seeks report on death of two persons,"['hrc', 'seeks', 'report', 'death', 'persons']"
8615,3656	Media coverage on gender identity issues draws flak,"['media', 'coverage', 'gender', 'identity', 'issues', 'draws', 'flak']"
8616,3657	Media coverage on gender identity issues draws flak,"['media', 'coverage', 'gender', 'identity', 'issues', 'draws', 'flak']"
8617,3658	After the awards,['awards']
8618,3659	Tattoo culture catches on in rural areas,"['tattoo', 'culture', 'catches', 'rural', 'areas']"
8619,3660	HIV among antenatal women dips in Krishna,"['antenatal', 'women', 'dips', 'krishna']"
8620,3661	World Asthma Day observed,"['asthma', 'day', 'observed']"
8621,3662	UN study shows decrease in maternal deaths,"['study', 'decrease', 'maternal', 'deaths']"
8622,3663	Workload of DCs reduced,"['workload', 'dcs', 'reduced']"
8623,3664	Madurai Soroptimists new team installed,"['madurai', 'soroptimists', 'team', 'installed']"
8624,3665	HIV among antenatal women dips in Krishna,"['antenatal', 'women', 'dips', 'krishna']"
8625,3666	A new economic agenda,"['economic', 'agenda']"
8626,3667	Madurai Soroptimists new team installed,"['madurai', 'soroptimists', 'team', 'installed']"
8627,3668	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8628,3669	A new economic agenda,"['economic', 'agenda']"
8629,3671	Today is World Malaria Day,"['today', 'malaria', 'day']"
8630,3672	United Nations study shows decrease in maternal deaths,"['united', 'nations', 'study', 'decrease', 'maternal', 'deaths']"
8631,3673	In need of a loving touch,"['loving', 'touch']"
8632,3674	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8633,3675	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8634,3676	Break the boundary,"['break', 'boundary']"
8635,3677	PaMZ: a game changer for TB and MDR-TB treatment,"['pamz', 'game', 'changer', 'tb', 'mdr', 'tb', 'treatment']"
8636,3678	Where should the judiciary draw the line?,"['judiciary', 'draw']"
8637,3679	IGNOU invites applications,"['ignou', 'invites', 'applications']"
8638,3680	PaMZ drug combination: a game changer for TB and MDR-TB treatment,"['pamz', 'drug', 'combination', 'game', 'changer', 'tb', 'mdr', 'tb', 'treatment']"
8639,3681	Where should the judiciary draw the line?,"['judiciary', 'draw']"
8640,3682	Firm grounding,"['firm', 'grounding']"
8641,3683	IGNOU invites applications,"['ignou', 'invites', 'applications']"
8642,3684	Today Tiruchi,"['today', 'tiruchi']"
8643,3685	Firm grounding,"['firm', 'grounding']"
8644,3686	Education Dept. directs schools to submit details of total seats,"['education', 'dept', 'directs', 'schools', 'submit', 'details', 'total', 'seats']"
8645,3687	regional round-up,"['regional', 'round']"
8646,3688	Firm grounding,"['firm', 'grounding']"
8647,3690	Transgenders deserve a dignified life: SC,"['transgenders', 'deserve', 'dignified', 'life', 'sc']"
8648,3691	07HYBCS03-FOR-S+HY08-RENUKA_.jpg.jpg,"['hybcs', 'hy', 'renuka', 'jpg', 'jpg']"
8649,3692	Transgenders deserve a dignified life: SC,"['transgenders', 'deserve', 'dignified', 'life', 'sc']"
8650,3693	Fire renders them homeless once again,"['fire', 'renders', 'homeless']"
8651,3694	Post for change,"['post', 'change']"
8652,3695	Fire renders them homeless once again,"['fire', 'renders', 'homeless']"
8653,3696	RGUHS announces admission calendar,"['rguhs', 'announces', 'admission', 'calendar']"
8654,3697	French scientists lose 2300 samples of deadly SARS virus,"['french', 'scientists', 'lose', 'samples', 'deadly', 'sars', 'virus']"
8655,3699	Training doctors to diagnose paediatric TB to start soon,"['training', 'doctors', 'diagnose', 'paediatric', 'tb', 'start']"
8656,3700	Post for change,"['post', 'change']"
8657,3702	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8658,3703	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8659,3704	HIV positive persons list demands,"['positive', 'persons', 'list', 'demands']"
8660,3705	Break the boundary,"['break', 'boundary']"
8661,3706	Sangoma healers go hi-tech,"['sangoma', 'healers', 'tech']"
8662,3707	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8663,3708	Training doctors to diagnose paediatric TB to start soon,"['training', 'doctors', 'diagnose', 'paediatric', 'tb', 'start']"
8664,3709	Victoria designs for charity,"['victoria', 'designs', 'charity']"
8665,3711	Number of panels headed by DCs trimmed,"['number', 'panels', 'headed', 'dcs', 'trimmed']"
8666,3712	Engaging the private sector in the global war against malaria,"['engaging', 'private', 'sector', 'global', 'war', 'malaria']"
8667,3714	Victoria for charity,"['victoria', 'charity']"
8668,3715	Engaging the private sector in the global war against malaria,"['engaging', 'private', 'sector', 'global', 'war', 'malaria']"
8669,3716	Number of panels headed by DCs trimmed,"['number', 'panels', 'headed', 'dcs', 'trimmed']"
8670,3717	Globetrotting biker bear vrooms into city,"['globetrotting', 'biker', 'bear', 'vrooms', 'city']"
8671,3718	AIDS control bodies to merge,"['control', 'bodies', 'merge']"
8672,3719	AIDS control bodies to merge,"['control', 'bodies', 'merge']"
8673,3720	Globetrotting biker bear vrooms into Mangalore,"['globetrotting', 'biker', 'bear', 'vrooms', 'mangalore']"
8674,3721	‘Need to create more awareness on HIV’,"['create', 'awareness']"
8675,3722	Rights groups oppose Uganda’s HIV bill,"['rights', 'groups', 'oppose', 'uganda', 'bill']"
8676,3723	An African AIDS mystery,"['african', 'mystery']"
8677,3724	Alcohol kills one every 10 seconds: WHO,"['alcohol', 'kills', 'seconds']"
8678,3726	A community whose votes no politician wants,"['community', 'votes', 'politician']"
8679,3727	A community whose votes no politician wants,"['community', 'votes', 'politician']"
8680,3728	One-third of new TB patients in S.E. Asia have no access to care: WHO,"['third', 'tb', 'patients', 'asia', 'access', 'care']"
8681,3729	Mysore,['mysore']
8682,3730	Tackling the last taboo,"['tackling', 'taboo']"
8683,3731	A million missing patients,"['missing', 'patients']"
8684,3732	Mysore,['mysore']
8685,3733	Tackling the last taboo,"['tackling', 'taboo']"
8686,3735	MANIPUR,['manipur']
8687,3736	Gender-based violence a persistent challenge in India: report,"['gender', 'based', 'violence', 'persistent', 'challenge', 'india', 'report']"
8688,3737	LGBT members plead parties that they be heard,"['lgbt', 'members', 'plead', 'parties', 'heard']"
8689,3738	TB treatment may take a uniform route,"['tb', 'treatment', 'uniform', 'route']"
8690,3739	A million missing patients,"['missing', 'patients']"
8691,3740	‘Kolatam’ for a cause,['kolatam']
8692,3741	Will DOTS-Plus address MDR-TB effectively?,"['dots', 'address', 'mdr', 'tb', 'effectively']"
8693,3742	Gender-based violence remains a challenge in India: UN report,"['gender', 'based', 'violence', 'remains', 'challenge', 'india', 'report']"
8694,3743	Commotion at private hospital,"['commotion', 'private', 'hospital']"
8695,3744	‘Football for social change’ campaign,"['football', 'social', 'change', 'campaign']"
8696,3745	Tiruchi Today,"['tiruchi', 'today']"
8697,3746	Tiruchi Today,"['tiruchi', 'today']"
8698,3747	Cricket with a cause,['cricket']
8699,3748	Football for the disadvantaged,"['football', 'disadvantaged']"
8700,3749	TB control: IMA cautions private doctors,"['tb', 'control', 'ima', 'cautions', 'private', 'doctors']"
8701,3750	Treat hepatitis virus in AIDS cases: S.P. Thyagarajan,"['treat', 'hepatitis', 'virus', 'cases', 'thyagarajan']"
8702,3751	Indian researchers plan to develop AIDS vaccine,"['indian', 'researchers', 'plan', 'develop', 'vaccine']"
8703,3752	A string story,"['string', 'story']"
8704,3753	A string story,"['string', 'story']"
8705,3754	Community radio a big hit with rural folk,"['community', 'radio', 'big', 'hit', 'rural', 'folk']"
8706,3755	07isbs-this-gam+07ISBS_HIV_SC.jpg.jpg,"['isbs', 'gam', 'isbshivsc', 'jpg', 'jpg']"
8707,3756	Community radio helps them beat boredom,"['community', 'radio', 'helps', 'beat', 'boredom']"
8708,3757	A string story,"['string', 'story']"
8709,3758	Tiruchi Today,"['tiruchi', 'today']"
8710,3759	Community radio helps them beat boredom,"['community', 'radio', 'helps', 'beat', 'boredom']"
8711,3760	‘Know the laws’,['laws']
8712,3761	AIDS awareness rally at Samata College,"['awareness', 'rally', 'samata', 'college']"
8713,3762	DE01_DALLAS1OSC+DE01_DALLAS1OSCAR_N.jpg,"['dedallasosc', 'dedallasoscarn', 'jpg']"
8714,3764	HIV-11,[]
8715,3765	HIV_STUDENTS,['hivstudents']
8716,3766	Schools rubbing salt into HIV wound: plea in SC,"['schools', 'rubbing', 'salt', 'wound', 'plea', 'sc']"
8717,3767	City hospital inks deal with IAPA,"['city', 'hospital', 'inks', 'deal', 'iapa']"
8718,3768	SC notice on discrimination against HIV+ve children,"['sc', 'notice', 'discrimination', 've', 'children']"
8719,3769	Schools rubbing salt into HIV wound: plea in SC,"['schools', 'rubbing', 'salt', 'wound', 'plea', 'sc']"
8720,3770	04_ISBS_WORLD_A+04_ISBS_WORLD_AIDS_.jpg,"['isbsworlda', 'isbsworldaids', 'jpg']"
8721,3771	Health ministry ends invasive tests on rape victims,"['health', 'ministry', 'ends', 'invasive', 'tests', 'rape', 'victims']"
8722,3773	‘Treat hepatitis virus in AIDS cases’,"['treat', 'hepatitis', 'virus', 'cases']"
8723,3774	Awareness programme held,"['awareness', 'programme', 'held']"
8724,3776	Bridge over troubled waters,"['bridge', 'troubled', 'waters']"
8725,3777	Tiruchi Today,"['tiruchi', 'today']"
8726,3778	On drug patents,"['drug', 'patents']"
8727,3779	Private doctors will pitch in to eradicate tuberculosis,"['private', 'doctors', 'pitch', 'eradicate', 'tuberculosis']"
8728,3780	65 students donated blood in special camp; HIV/AIDS awareness camp held,"['students', 'donated', 'blood', 'special', 'camp', 'awareness', 'camp', 'held']"
8729,3781	U.S. court upholds Rajat Gupta conviction,"['court', 'upholds', 'rajat', 'gupta', 'conviction']"
8730,3782	31BGJYOTHI_REDDY,['bgjyothireddy']
8731,3783	31Bg_Voxpop.eps,"['bgvoxpop', 'eps']"
8732,3784	30bg_bgnag_BJP2+31BGJYOTHI_REDDY.jp.jpg,"['bgbgnagbjp', 'bgjyothireddy', 'jp', 'jpg']"
8733,3785	30bg_bgnag_BJP2+31BGJYOTHI_REDDY.jp.jpg,"['bgbgnagbjp', 'bgjyothireddy', 'jp', 'jpg']"
8734,3786	30vjmsr01-IOC1_+31VJ_INDIAN_OIL.jpg.jpg,"['vjmsr', 'ioc', 'vjindianoil', 'jpg', 'jpg']"
8735,3787	Playing for a cause,['playing']
8736,3789	New proposal calls for enhanced compensation to assault victims,"['proposal', 'calls', 'enhanced', 'compensation', 'assault', 'victims']"
8737,3790	30bg_bgvjh_unlo+31Bg_Voxpop.eps.jpg.jpg,"['bgbgvjhunlo', 'bgvoxpop', 'eps', 'jpg', 'jpg']"
8738,3791	Bridge over troubled waters,"['bridge', 'troubled', 'waters']"
8739,3792	in darjeeling,['darjeeling']
8740,3793	Fighting a stubborn disease,"['fighting', 'stubborn', 'disease']"
8741,3794	Gulbarga students bring laurels to State at Red Cross camp,"['gulbarga', 'students', 'bring', 'laurels', 'state', 'red', 'cross', 'camp']"
8742,3795	And they lived happily ever after,"['lived', 'happily']"
8743,3796	Tiruchi Today,"['tiruchi', 'today']"
8744,3797	‘Drug patents lead to genocide in healthcare’,"['drug', 'patents', 'lead', 'genocide', 'healthcare']"
8745,3798	India launches HIV salvage therapy,"['india', 'launches', 'salvage', 'therapy']"
8746,3799	Restrictive global governance system affects public health,"['restrictive', 'global', 'governance', 'system', 'public', 'health']"
8747,3800	Drug patents lead to genocide in healthcare: Yusuf Hamied,"['drug', 'patents', 'lead', 'genocide', 'healthcare', 'yusuf', 'hamied']"
8748,3801	India launches HIV salvage therapy,"['india', 'launches', 'salvage', 'therapy']"
8749,3802	Restrictive global governance system affects public health,"['restrictive', 'global', 'governance', 'system', 'public', 'health']"
8750,3803	And they lived happily ever after,"['lived', 'happily']"
8751,3804	And they lived happily ever after,"['lived', 'happily']"
8752,3805	Engagements,['engagements']
8753,3806	WCH to get NABH certificate today,"['wch', 'nabh', 'certificate', 'today']"
8754,3807	They gain respectability as para-legal volunteers,"['gain', 'respectability', 'para', 'legal', 'volunteers']"
8755,3808	Indian pharma industry could face U.S. sanctions,"['indian', 'pharma', 'industry', 'face', 'sanctions']"
8756,3809	And they lived happily ever after,"['lived', 'happily']"
8757,3810	Do you have a minute?,['minute']
8758,3811	‘Need to step up research to eradicate leprosy’,"['step', 'eradicate', 'leprosy']"
8759,3812	Stories of impact,"['stories', 'impact']"
8760,3813	Choosing death over life,"['choosing', 'death', 'life']"
8761,3814	They gain respectability as para-legal volunteers,"['gain', 'respectability', 'para', 'legal', 'volunteers']"
8762,3815	Winds of change,"['winds', 'change']"
8763,3816	Tiruchi Today,"['tiruchi', 'today']"
8764,3817	Stories of impact,"['stories', 'impact']"
8765,3818	Ray of hope,"['ray', 'hope']"
8766,3819	Cardio-vascular diseases on the rise in Godavari districts: study,"['cardio', 'vascular', 'diseases', 'rise', 'godavari', 'districts', 'study']"
8767,3820	Adding cheer to home-based palliative care for the bedridden,"['adding', 'cheer', 'based', 'palliative', 'care', 'bedridden']"
8768,3821	Adding cheer to home-based palliative care for the bedridden,"['adding', 'cheer', 'based', 'palliative', 'care', 'bedridden']"
8769,3822	Celebrating the truck,"['celebrating', 'truck']"
8770,3823	Celebrating the truck,"['celebrating', 'truck']"
8771,3824	Life expectancy increased by five years in past decade,"['life', 'expectancy', 'increased', 'years', 'decade']"
